Type,DN,OuterDiameter,WallThickness,Radius,Length
Elbow 3D,12,12,1,20,
Elbow 3D,12,12,"1,5",20,
Elbow 3D,12,12,2,20,
Elbow 3D,"13,5","13,5","1,6",20,
Elbow 3D,"13,5","13,5","2,3",20,
Elbow 3D,15,15,"1,5",20,
Elbow 3D,16,16,2,20,
Elbow 3D,"17,2","17,2","1,6",28,
Elbow 3D,"17,2","17,2",2,25,
Elbow 3D,"17,2","17,2","2,3",28,
Elbow 3D,18,18,"1,5","22,5",
Elbow 3D,20,20,2,25,
Elbow 3D,"21,3","21,3","1,6","27,5",
Elbow 3D,"21,3","21,3",2,"27,5",
Elbow 3D,"21,3","21,3","2,6","27,5",
Elbow 3D,23,23,"1,5",25,
Elbow 3D,25,25,2,"27,5",
Elbow 3D,"26,9","26,9","1,6","28,5",
Elbow 3D,"26,9","26,9",2,"28,5",
Elbow 3D,"26,9","26,9","2,6","28,5",
Elbow 3D,28,28,"1,5","32,5",
Elbow 3D,30,30,2,"33,5",
Elbow 3D,"33,7","33,7","1,6",38,
Elbow 3D,"33,7","33,7",2,38,
Elbow 3D,"33,7","33,7","2,6",38,
Elbow 3D,"33,7","33,7","3,2",38,
Elbow 3D,35,35,"1,5",45,
Elbow 3D,35,35,2,45,
Elbow 3D,38,38,"1,5",45,
Elbow 3D,38,38,2,45,
Elbow 3D,40,40,2,45,
Elbow 3D,"42,4","42,4","1,6",48,
Elbow 3D,"42,4","42,4",2,"47,5",
Elbow 3D,"42,4","42,4","2,6","47,5",
Elbow 3D,"42,4","42,4","3,2",48,
Elbow 3D,43,43,"1,5","47,5",
Elbow 3D,"44,5","44,5",2,60,
Elbow 3D,"48,3","48,3","1,6",57,
Elbow 3D,"48,3","48,3",2,57,
Elbow 3D,"48,3","48,3","2,6",57,
Elbow 3D,"48,3","48,3","3,2",57,
Elbow 3D,53,53,"1,5",75,
Elbow 3D,54,54,2,70,
Elbow 3D,57,57,3,75,
Elbow 3D,"60,3","60,3","1,6",76,
Elbow 3D,"60,3","60,3",2,76,
Elbow 3D,"60,3","60,3","2,6",76,
Elbow 3D,"60,3","60,3","3,6",76,
Elbow 3D,69,69,2,95,
Elbow 3D,70,70,2,92,
Elbow 3D,"76,1","76,1",2,92,
Elbow 3D,"76,1","76,1","2,3",92,
Elbow 3D,"76,1","76,1","2,6",92,
Elbow 3D,"76,1","76,1","3,6",95,
Elbow 3D,84,84,2,123,
Elbow 3D,"88,9","88,9",2,"114,5",
Elbow 3D,"88,9","88,9","2,3","114,5",
Elbow 3D,"88,9","88,9","2,6","114,5",
Elbow 3D,"88,9","88,9",4,114,
Elbow 3D,104,104,2,150,
Elbow 3D,106,106,3,150,
Elbow 3D,108,108,2,"142,5",
Elbow 3D,"114,3","114,3",2,152,
Elbow 3D,"114,3","114,3","2,6",152,
Elbow 3D,"114,3","114,3",3,"152,4",
Elbow 3D,129,129,2,188,
Elbow 3D,131,131,3,188,
Elbow 3D,"139,7","139,7",2,190,
Elbow 3D,"139,7","139,7","2,6",190,
Elbow 3D,"139,7","139,7",3,190,
Elbow 3D,154,154,2,225,
Elbow 3D,156,156,3,225,
Elbow 3D,"168,3","168,3",2,229,
Elbow 3D,"168,3","168,3","2,6",229,
Elbow 3D,"168,3","168,3",3,229,
Elbow 3D,"168,3","168,3",4,229,
Elbow 3D,204,204,2,300,
Elbow 3D,206,206,3,300,
Elbow 3D,"219,1","219,1",2,305,
Elbow 3D,"219,1","219,1","2,6",305,
Elbow 3D,"219,1","219,1",3,305,
Elbow 3D,"219,1","219,1",4,305,
Elbow 3D,254,254,2,375,
Elbow 3D,256,256,3,375,
Elbow 3D,273,273,2,381,
Elbow 3D,273,273,"2,6",381,
Elbow 3D,273,273,3,381,
Elbow 3D,273,273,4,381,
Elbow 3D,304,304,2,450,
Elbow 3D,306,306,3,450,
Elbow 3D,"323,9","323,9",2,457,
Elbow 3D,"323,9","323,9",3,457,
Elbow 3D,"323,9","323,9",4,457,
Elbow 3D,"355,6","355,6",3,450,
Elbow 3D,"355,6","355,6",4,533,
Elbow 3D,"406,4","406,4",3,500,
Elbow 3D,"406,4","406,4",4,610,
Elbow 3D,456,456,3,680,
Elbow 3D,506,506,3,750,
Elbow 3D,508,508,4,750,
Elbow 3D,606,606,3,900,
Elbow 3D,608,608,4,900,
Elbow 3D,"609,6","609,6",4,"88,00",
Tee,20,20,2,,25
Tee,25,25,2,,30
Tee,28,28,"1,5",,32
Tee,30,30,2,,35
Tee,35,35,2,,40
Tee,38,38,2,,43
Tee,"44,5","44,5",2,,50
Tee,54,54,2,,61
Tee,69,69,2,,73
Tee,84,84,2,,80
Tee,104,104,2,,90
Tee,105,105,"2,5",,90
Tee,129,129,2,,115
Tee,154,154,2,,135
Tee,155,155,"2,5",,135
Tee,205,205,"2,5",,175
Tee,206,206,3,,175
Tee,256,256,3,,216
Tee,306,306,3,,254
Tee,356,356,3,,279
Tee,406,406,3,,305
Tee,"406,4","406,4",4,,305
Tee,508,508,4,,381
Tee,610,610,5,,432
Tee,"21,3","21,3",2,,25
Tee,"26,9","26,9",2,,29
Tee,"33,7","33,7",2,,38
Tee,"42,4","42,4",2,,48
Tee,"48,3","48,3",2,,57
Tee,"60,3","60,3",2,,64
Tee,"60,3","60,3","2,6",,64
Tee,"76,1","76,1",2,,76
Tee,"76,1","76,1","2,6",,76
Tee,"88,9","88,9",2,,86
Tee,"88,9","88,9","2,6",,86
Tee,"114,3","114,3",2,,105
Tee,"114,3","114,3","2,6",,105
Tee,"139,7","139,7","2,6",,124
Tee,"139,7","139,7",3,,124
Tee,"168,3","168,3","2,6",,143
Tee,"168,3","168,3",3,,143
Tee,"219,1","219,1","2,6",,178
Tee,"219,1","219,1",3,,178
Tee,273,273,3,,216
Tee,"323,9","323,9",3,,254
Tee,"13,5","13,5","1,6",,18
Tee,"17,2","17,2","1,6",,20
Tee,"21,3","21,3","1,6",,25
Tee,"26,9","26,9","1,6",,29
Tee,"33,7","33,7",2,,38
Tee,"33,7","33,7","2,6",,38
Tee,"42,4","42,4",2,,48
Tee,"42,4","42,4","2,6",,48
Tee,"48,3","48,3",2,,57
Tee,"48,3","48,3","2,6",,57
Tee,"60,3","60,3",2,,64
Tee,"76,1","76,1","2,3",,76
Tee,"88,9","88,9","2,3",,86
Tee,"114,3","114,3","2,6",,105
Tee,"139,7","139,7","2,6",,124
Tee,"168,3","168,3","2,6",,143
Tee,"219,1","219,1",3,,178
Tee,"323,9","323,9",3,,254
Tee,14,14,1,,"1,00"
Tee,28,28,3,,"1,25"
Tee,35,35,3,,"1,50"
Reducer Concentric,"21,3/17,2","21,3/17,2","1,6/1,6",,38
Reducer Concentric,"26,9/17,2","26,9/17,2","1,6/1,6",,38
Reducer Concentric,"26,9/21,3","26,9/21,3","1,6/1,6",,38
Reducer Concentric,"33,7/17,2","33,7/17,2","2/1,6",,51
Reducer Concentric,"33,7/21,3","33,7/21,3","2/1,6",,51
Reducer Concentric,"33,7/26,9","33,7/26,9","2/1,6",,51
Reducer Concentric,"42,4/21,3","42,4/21,3","2/1,6",,51
Reducer Concentric,"42,4/26,9","42,4/26,9","2/1,6",,51
Reducer Concentric,"42,4/33,7","42,4/33,7",2/2,,51
Reducer Concentric,"48,3/21,3","48,3/21,3","2/1,6",,64
Reducer Concentric,"48,3/26,9","48,3/26,9","2/1,6",,64
Reducer Concentric,"48,3/33,7","48,3/33,7",2/2,,64
Reducer Concentric,"48,3/42,4","48,3/42,4",2/2,,64
Reducer Concentric,"60,3/26,9","60,3/26,9","2/1,6",,76
Reducer Concentric,"60,3/33,7","60,3/33,7",2/2,,76
Reducer Concentric,"60,3/42,4","60,3/42,4",2/2,,76
Reducer Concentric,"60,3/48,3","60,3/48,3",2/2,,76
Reducer Concentric,"76,1/33,7","76,1/33,7","2,3/2",,89
Reducer Concentric,"76,1/42,4","76,1/42,4","2,3/2",,89
Reducer Concentric,"76,1/48,3","76,1/48,3","2,3/2",,89
Reducer Concentric,"76,1/60,3","76,1/60,3","2,3/2",,89
Reducer Concentric,"88,9/33,7","88,9/33,7","2,3/2",,89
Reducer Concentric,"88,9/42,4","88,9/42,4","2,3/2",,89
Reducer Concentric,"88,9/48,3","88,9/48,3","2,3/2",,89
Reducer Concentric,"88,9/60,3","88,9/60,3","2,3/2",,89
Reducer Concentric,"88,9/76,1","88,9/76,1","2,3/2,3",,89
Flange R-158-10,10,"17,2","1,6",,9
Flange R-157,15,"21,3",2,,6
Flange R-158-10,15,"21,3","1,6",,9
Flange R-157,20,"26,9",2,,7
Flange R-158-10,20,"26,9","1,6",,12
Flange R-157,40,"48,3",2,,10
Flange R-158-10,25,"33,7",2,,15
Flange R-157,50,"60,3",2,,11
Flange R-158-10,32,"42,4",2,,15
Flange R-158-10,40,"48,3",2,,17
Flange R-158-10,50,"60,3",2,,23
Flange R-158-10,65,"76,1","2,3",,23
Flange R-158-10,80,"88,9","2,3",,23
Flange R-158-10,100,"114,3","2,6",,28
Flange R-158-10,125,"139,7","2,6",,30
Flange R-158-10,150,"168,3","2,6",,30
Flange R-158-10,200,"219,1","2,9",,30
Flange R-158-10,250,"273,0","2,9",,30
Flange R-158-10,300,"323,9","3,2",,35
